State Name,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2021-22,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2020-21,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2019-20,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2018-19,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2017-18,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2016-17,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2015-16,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2014-15,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2013-14,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2012-13,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2011-12,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2010-11,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2009-10,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2008-09,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2007-08,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2006-07,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2005-06,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2004-05,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2003-04,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2002-03,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2001-02,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 2000-01,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1999-00,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1998-99,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1997-98,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1996-97,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1995-96,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1994-95,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1993-94,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1992-93,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1991-92,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1990-91,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1989-90,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1988-89,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1987-88,Total Current Expenditures for Public El-Sec (TE5) per Pupil (MEMBR) [State Finance] 1986-87
ALABAMA,11862,10728,10140,10107,9717,9528,9258,9146,9036,8773,8577,8726,8907,8964,9197,8398,7683,7073,6581,6300,6029,5885,5638,5188,4849,4595,4343,4109,3826,3568,3415,3429,3144,3019,2569,2420
ALASKA,20186,19540,18313,18393,17726,17838,17510,20191,18466,18217,17475,16663,15829,15363,14641,12324,11476,10847,10116,9870,9563,9216,8806,8404,8271,8231,8189,8033,7960,7901,7852,7502,7577,6940,7079,7131
ARIZONA,10401,9571,8694,8773,8373,8053,7772,7590,7457,7495,7382,7782,7968,8022,7727,7316,6515,6307,5999,6283,5851,5521,5030,4672,4595,4413,4476,4264,4104,4088,3957,3860,3717,3728,3498,3436
ARKANSAS,12167,11239,10369,10412,10168,10004,9900,9805,9752,9538,9536,9496,9281,8854,8677,8391,8030,7659,6842,6482,6276,5568,5277,4956,4708,4535,4401,4186,4013,3859,3777,3461,3229,3023,2771,2558
CALIFORNIA,16967,14753,14042,13831,12664,12151,11420,10449,9671,9258,9329,9146,9300,9503,9706,8952,8301,7905,7673,7552,7405,6987,6314,5801,5644,5260,4937,4799,4719,4609,4640,4595,4502,4205,3877,3772
COLORADO,13447,12233,11647,11072,10238,9849,9619,9292,9036,8693,8594,8786,8926,8782,9152,8286,8166,7826,7478,7384,6941,6567,6215,5923,5656,5312,5121,5047,4727,4766,4644,4603,4357,4151,3878,3814
CONNECTICUT,23868,22216,20889,21140,20147,19929,19615,19020,18401,17321,16855,16224,15698,15353,14610,13659,13072,12263,11436,11057,10577,10127,9753,9318,8901,8580,8430,8380,7947,7655,7620,7547,7463,6479,5905,5150
DELAWARE,18793,16589,16777,15929,15282,14892,14397,13882,13793,13653,13580,12467,12222,12109,12153,11760,11621,10911,10212,9693,9284,8958,8310,7706,7420,7135,6696,6502,6101,5753,5599,5458,5326,4958,4606,4429
DISTRICT OF COLUMBIA,28128,25113,23754,22984,23161,22561,21135,20610,20577,20530,19847,20793,20910,19698,16353,15511,13752,13915,12959,11847,12102,12046,10107,9650,8393,8048,8510,8290,8843,8286,8403,8029,7872,6888,5662,5153
FLORIDA,11681,10823,10305,9986,9663,9374,9176,9113,8955,8623,8520,9030,8863,8867,9084,8567,7812,7215,6793,6439,6213,6170,5831,5790,5552,5360,5275,5220,5063,4876,4821,4859,4597,4210,3778,3515
GEORGIA,13569,12108,11686,11203,10760,10274,9835,9476,9236,9121,9272,9259,9432,9649,9718,9102,8595,8065,7742,7774,7380,6929,6437,6092,5647,5369,5056,4828,4569,4368,4124,4171,4000,3616,3195,2969
HAWAII,17420,16550,16564,16132,15242,14322,13748,12855,12400,11743,11973,11924,11714,12400,11800,11316,9876,8997,8533,8100,7306,6596,6530,6081,5858,5633,5560,5597,5533,5332,5062,4820,4130,3841,3661,3503
IDAHO,9662,9054,8337,8043,7846,7554,7178,6899,6577,6761,6626,6821,7100,7118,6951,6648,6469,6319,6168,6081,6011,5725,5315,5066,4721,4447,4194,3957,3628,3471,3370,3206,2921,2656,2505,2462
ILLINOIS,19188,18527,17483,16281,15912,15517,14327,13935,13213,12443,12011,11742,11739,11097,10353,9596,9113,8896,8606,8287,7956,7631,7133,6762,6242,5940,5519,5553,5323,5307,5002,4904,4521,4265,3822,3541
INDIANA,12278,11411,10798,10252,10033,9823,9691,9529,9396,9421,9588,9251,9479,9254,8867,9080,8929,8919,8431,8057,7734,7630,7192,6772,6318,6161,5621,5411,5245,4995,4749,4588,4270,3933,3454,3213
IOWA,13309,12714,11986,11933,11724,11456,11148,10938,10647,10291,10027,9795,9748,9704,9520,8791,8355,7962,7626,7574,7338,6930,6564,6243,5998,5738,5481,5240,5070,4970,4795,4418,4190,4027,3867,3550
KANSAS,13716,12788,11960,11328,11095,10428,10216,10329,10240,10011,10021,9802,9972,10204,9894,9243,8640,7926,7776,7454,7339,6937,6294,6015,5727,5508,5374,5222,5081,4926,4554,4434,4290,4014,3724,3573
KENTUCKY,13428,12016,11370,11280,11081,10083,9831,9560,9411,9274,9327,9228,8957,8786,8740,7941,7668,7132,6864,6661,6523,6079,5921,5637,5213,5155,4807,4545,4505,4310,4194,3897,3384,3009,2710,2463
LOUISIANA,15026,13183,12009,11920,11636,11379,11169,11106,10853,10539,10726,10799,10701,10625,10006,8937,8486,7669,7271,6922,6567,6037,5804,5548,5187,4724,4447,4356,4133,4010,4014,3853,3625,3138,2886,2843
MAINE,18812,18385,16067,15686,15069,14633,14202,13976,13267,12655,12335,12576,12452,12183,11761,11644,10841,10342,9746,9344,8818,8232,7667,7155,6742,6426,6151,6029,5569,5624,5182,4978,4903,4330,3965,3591
MARYLAND,18192,16873,15926,15576,15155,14933,14523,14431,14217,14086,13871,14123,14007,13737,13257,11989,10909,10031,9433,9153,8692,8260,7731,7326,7034,6755,6593,6427,6191,6060,5926,5930,5573,5088,4575,4211
MASSACHUSETTS,22778,21529,19747,19196,18328,17718,16986,16566,15886,15321,14844,14285,14699,14534,13690,12784,12087,11642,11015,10460,10232,9509,8816,8260,7778,7331,7033,6783,6423,6141,5952,5881,5766,5485,4965,4490
MICHIGAN,14800,13351,12323,12052,11688,11256,11051,10956,10649,10515,10477,10577,10447,10373,10075,9876,9575,9340,9094,8781,8653,8278,8110,7432,7050,6932,6785,6465,6138,5945,5746,5394,5090,4734,4350,4024
MINNESOTA,15327,14213,13502,13297,12910,12635,12364,11924,11427,11065,10781,10674,10665,10983,10060,9589,9159,8718,8405,8109,7736,7645,7190,6814,6388,6005,5801,5626,5342,5210,5089,4946,4698,4515,4132,3963
MISSISSIPPI,11085,10060,9614,9253,8909,8755,8692,8445,8265,8117,8097,7926,8104,8064,7890,7459,7173,6548,6199,5792,5354,5175,5014,4565,4288,4039,3951,3798,3410,3159,3047,3007,2934,2714,2416,2231
MISSOURI,12854,11999,11397,11349,11034,10684,10385,10231,9938,9702,9514,9461,9721,9617,9532,8848,8273,7858,7542,7495,7136,6657,6187,5855,5565,5304,5092,4866,4596,4318,4284,4271,4071,3839,3425,3142
MONTANA,13543,13262,12065,11984,11512,11538,11374,11078,10941,10662,10569,10719,10565,10120,9786,9191,8626,8133,7825,7496,7062,6726,6314,5974,5724,5481,5249,5137,5043,4907,4825,4706,4240,3893,3878,3808
NEBRASKA,14194,13723,12829,12746,12813,12662,12379,12174,11877,11743,11640,11540,11460,10846,10565,10068,9324,8794,8452,8074,7741,7223,6683,6256,5958,5848,5688,5555,5310,5064,4941,4735,4553,4101,3712,3549
NEVADA,11228,10073,9548,9280,9040,9120,8753,8451,8275,8026,8130,8411,8376,8321,8187,7796,7177,6804,6410,6092,6079,5807,5760,5587,5295,5084,4892,4730,4664,4645,4546,4294,3816,3562,3298,3182
NEW HAMPSHIRE,20424,19396,17825,17457,16588,15958,15535,14969,14601,14050,13774,13548,13072,12583,11951,11036,10396,9771,9161,8579,7935,7286,6860,6433,6156,5920,5740,5567,5433,5368,5237,5152,4786,4328,4080,3603
NEW JERSEY,25550,22784,21385,21328,20316,19585,19041,18838,18780,18523,17982,16855,17379,16973,17620,16163,14954,14117,13338,12568,11793,11248,10337,10145,9643,9588,9361,9178,9075,8770,8705,8166,7546,6762,6059,5508
NEW MEXICO,13419,11912,11617,10466,9963,9949,9959,9724,9403,9164,9013,9250,9621,9648,9291,8849,8354,7834,7572,7125,6882,6313,5825,5440,5005,4682,4604,4404,4106,3929,3927,3757,3446,3336,3190,3071
NEW YORK,29284,26097,25273,24882,23606,22861,22231,20744,20156,19529,19396,18834,18167,17746,16794,15546,14615,13703,12638,11961,11218,10716,9846,9344,8852,8525,8361,8311,8069,7770,7482,7510,7051,6655,6196,5647
NORTH CAROLINA,12120,10519,9903,9799,9311,8995,8717,8529,8287,8342,8160,8267,8225,8463,7798,7878,7396,7098,6613,6562,6495,6340,6045,5656,5257,4929,4719,4703,4540,4426,4246,4237,4018,3594,3153,2942
NORTH DAKOTA,15859,15139,14252,14033,13783,13767,13358,12909,12032,11615,11246,10898,10519,9802,9324,8671,8728,8279,7333,6870,6709,6125,5667,5442,5056,4808,4677,4482,4385,4305,4150,3909,3899,3635,3239,3159
OHIO,15314,14389,13729,13433,12893,12569,11933,11730,11434,11276,11323,11395,11224,10669,10340,9937,9692,9330,9029,8632,8069,7571,7065,6590,6198,5935,5669,5529,5319,5110,5115,4747,4531,4208,3595,3409
OKLAHOMA,10719,10084,9395,9203,8174,7921,8091,8075,7995,7914,7763,7631,7929,7878,7683,7430,6941,6610,6154,6092,6229,6019,5395,5303,5033,4817,4549,4533,4437,4090,3857,3639,3293,3159,2897,2878
OREGON,15734,13820,12838,12457,11903,11252,10823,10457,9959,9183,9485,9516,9268,9611,9565,8958,8645,8071,7618,7491,7642,7528,7149,6828,6419,5920,5790,5649,5522,5585,5268,5195,4864,4598,4266,3888
PENNSYLVANIA,19126,17822,17172,16892,16377,15782,15165,14405,13824,13445,13091,13096,12729,12299,11741,10905,10723,10235,9708,8997,8537,8210,7772,7450,7209,7106,6922,6565,6443,6372,6127,6048,5737,5169,4603,4287
RHODE ISLAND,20498,18810,17725,17539,16954,16620,16082,15797,15372,14889,15172,14948,14723,14719,14459,13453,12609,11667,11078,10349,9703,9315,8904,8294,7928,7612,7304,7126,6797,6501,6092,5934,5908,5598,4924,4516
SOUTH CAROLINA,12885,12139,11168,10994,10705,10419,10045,9831,9608,9444,9077,8903,9080,9228,9060,8507,8120,7549,7177,7040,7017,6631,6130,5656,5320,5050,4779,4501,4336,4200,4088,4009,3769,3441,3143,2966
SOUTH DAKOTA,11665,11095,10392,10325,10263,10117,9335,9103,9036,8630,8593,8931,9020,8543,8535,8064,7775,7464,7068,6547,6424,6191,5632,5259,4669,4387,4220,4271,4095,4109,3938,3726,3511,3373,3071,2935
TENNESSEE,11278,10571,9974,9941,9599,9246,8876,8759,8662,8588,8354,8484,8117,7992,7820,7129,7004,6850,6466,6118,5948,5687,5383,5123,4937,4581,4172,4017,3815,3671,3430,3521,3405,3248,2855,2649
TEXAS,11889,11049,10394,9868,9652,9520,9352,9081,8602,8261,8213,8685,8788,8562,8350,7850,7480,7246,7151,7136,6771,6539,6288,5685,5444,5267,5016,4779,4488,4270,4246,4048,3835,3582,3334,3163
UTAH,9496,9014,8287,7950,7576,7206,7006,6751,6546,6432,6441,6326,6452,6612,5978,5709,5464,5216,4991,4838,4900,4674,4378,4210,3969,3783,3604,3409,3206,2967,2841,2767,2577,2421,2302,2242
VERMONT,25073,24050,22124,21217,20219,19480,19023,18769,18066,17286,16651,14707,16006,15096,14421,13629,12805,11972,11211,10454,9806,9153,8323,7541,7075,6753,6488,6367,6266,6252,6243,6255,5770,5196,4927,4107
VIRGINIA,15092,13856,12941,12642,12224,11885,11435,11235,10955,10960,10656,10363,10594,10928,10664,10214,9452,8886,8219,7822,7496,7281,6841,6350,6065,5788,5528,5421,5205,5067,4914,4965,4690,4225,3873,3533
WASHINGTON,17072,15615,14542,14342,12986,11971,11484,10684,10305,9714,9617,9619,9497,9585,9058,8524,7984,7717,7391,7252,7039,6750,6376,6110,6040,5734,5639,5477,5342,5220,4899,4652,4382,4059,3875,3689
WEST VIRGINIA,14124,13279,12647,12269,11572,11745,11424,11512,11371,11257,11579,11978,11730,10606,10059,9727,9440,9024,8588,8319,7844,7534,7152,6677,6323,6076,5881,5663,5292,5108,4696,4571,4020,3580,3579,3493
WISCONSIN,14567,13687,12794,12690,12446,11962,11664,11538,11345,11186,11233,11946,11453,11183,10791,10372,9993,9755,9240,9004,8634,8243,7806,7527,7123,6796,6517,6301,6126,5974,5643,5382,5020,4760,4296,4020
WYOMING,18485,18140,16665,16228,16134,16513,16431,16047,15903,15815,15988,15815,15232,14628,13856,13266,11437,10190,9308,8985,8645,7835,7425,6842,6218,5971,5826,5753,5534,5462,5348,5310,5239,5030,4742,4852